DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,C=C(C)CCC(=C)C,O
0,for_solvent_tsne,Cc1cccc(C)c1C,O
0,for_solvent_tsne,COCCC#N,O
0,for_solvent_tsne,ClCC(Cl)Cl,O
0,for_solvent_tsne,CCCCOC(=O)CCC,O
0,for_solvent_tsne,O=C(O)CCS,O
0,for_solvent_tsne,CC(COC(C)(C)C)OCCCO,O
0,for_solvent_tsne,O=S(=O)(O)O,O
0,for_solvent_tsne,c1ccoc1,O
0,for_solvent_tsne,CCCCC(C)=O,O
0,for_solvent_tsne,Fc1ccccc1,O
0,for_solvent_tsne,CCCCC(C)CC,O
0,for_solvent_tsne,CC(O)C(O)CO,O
0,for_solvent_tsne,COC(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,COC(=O)C(C)C,O
0,for_solvent_tsne,CCCC(=O)CCC,O
0,for_solvent_tsne,O=[N+]([O-])c1cccc(C(F)(F)F)c1,O
0,for_solvent_tsne,CCc1cc(CC)c(CC)c(CC)c1CC,O
